date,APPLE,IBM,MICROSOFT,SALESFORCE,VISA
2018-06-21,44.639965,112.520027,96.807587,137.880005,131.395142
2018-06-22,44.509987,112.543922,96.108864,135.009995,132.176544
2018-06-25,43.848061,110.560387,94.175377,133.190002,127.879028
2018-06-26,44.39204,110.791405,94.835838,135.479996,129.461304
2018-06-27,44.327053,109.516846,93.361794,133.220001,127.966942
2018-06-28,44.649593,111.556137,94.405098,135.119995,129.646881
2018-06-29,44.555717,111.285301,94.385963,136.399994,129.363647
2018-07-02,45.053955,111.412743,95.726006,140.429993,129.412476
2018-07-03,44.269291,111.181732,94.807129,137.839996,128.386902
2018-07-05,44.625515,112.663414,95.48671,139.770004,130.184021
2018-07-06,45.244114,113.499847,96.826736,141.399994,130.965393
2018-07-09,45.872341,115.021362,97.48719,141.759995,132.362122
2018-07-10,45.816982,115.276268,97.745613,142.449997,133.504837
2018-07-11,45.22245,115.459496,97.611603,145.25,134.930786
2018-07-12,45.980648,116.662376,99.726944,148.160004,136.64003
2018-07-13,46.05286,116.224228,100.913811,147.610001,136.171158
2018-07-16,45.951771,115.873741,100.4161,146.960007,135.233597
2018-07-17,46.081745,114.304428,101.411545,147.020004,136.386063
2018-07-18,45.82901,115.124901,100.617096,147.839996,137.61673
2018-07-19,46.185246,118.884872,99.927948,147.160004,136.864685
2018-07-20,46.079342,116.582672,101.717834,146.869995,137.70462
2018-07-23,46.120266,116.064934,103.345024,147.559998,136.767029
2018-07-24,46.45483,116.606606,103.048294,146,136.767029
2018-07-25,46.892902,116.797806,106.08252,148.869995,139.316193
2018-07-26,46.746078,116.869476,104.924339,147.570007,139.179428
2018-07-27,45.968624,115.626762,103.067444,143.910004,137.431137
2018-07-30,45.711071,115.897621,100.856392,138.029999,133.299759
2018-07-31,45.802532,115.451515,101.535988,137.149994,133.553665
2018-08-01,48.500778,114.312378,101.727425,137.679993,135.028473
2018-08-02,49.918488,113.882195,102.962151,141.139999,135.682846
2018-08-03,50.062908,117.658112,103.412025,141.039993,136.56189
2018-08-06,50.322865,116.327797,103.498154,142.710007,136.454483
2018-08-07,49.851093,117.108452,104.216011,144.440002,137.011169
2018-08-08,49.884789,117.012848,104.799904,145.169998,137.401825
2018-08-09,50.27713,116.57,104.972191,145.820007,136.747452
2018-08-10,50.127373,116.336479,104.330894,145.509995,136.473969
2018-08-13,50.451035,114.911285,103.574738,144.449997,136.942825
2018-08-14,50.663597,115.434662,104.866905,146.570007,137.480011
2018-08-15,50.781952,115.877541,103.444847,145.039993,136.659576
2018-08-16,51.525902,117.028969,103.425644,145.729996,137.57901
2018-08-17,52.554874,117.608704,103.367989,145.020004,138.244171
2018-08-20,52.042801,117.971085,102.685783,145.710007,137.862701
2018-08-21,51.941345,117.536255,101.830635,145.529999,136.982346
2018-08-22,51.943771,116.948448,102.868332,146.460007,138.058319
2018-08-23,52.050049,117.053116,103.348778,147.830002,138.997345
2018-08-24,52.211876,117.592628,104.155899,152.300003,141.051544
2018-08-27,52.641823,118.116005,105.308899,151.679993,142.225327
2018-08-28,53.066936,118.035469,105.943047,152.990005,142.029709
2018-08-29,53.8592,118.80043,107.634155,154.800003,143.819702
2018-08-30,54.354366,117.504051,107.566887,152.139999,143.536087
2018-08-31,54.98238,117.946892,107.932037,152.679993,143.68277
2018-09-04,55.158703,117.302727,107.336288,153.210007,144.572922
2018-09-05,54.798805,118.091827,104.242355,148.649994,139.554916
2018-09-06,53.888191,117.874428,104.482559,148.830002,141.344986
2018-09-07,53.453415,117.117538,103.973328,150.429993,140.073349
2018-09-10,52.736031,117.27858,105.097511,151.320007,140.934174
2018-09-11,54.069347,117.954964,106.884697,152.839996,142.31337
2018-09-12,53.397861,118.019371,107.336288,155.369995,143.369766
2018-09-13,54.687702,119.935768,108.489326,158.179993,144.406647
2018-09-14,54.066933,119.436546,108.931297,157.490005,144.61203
2018-09-17,52.627335,119.12252,107.749451,154.919998,142.988281
2018-09-18,52.714291,119.621704,108.777565,156,144.406647
2018-09-19,52.745693,120.02433,107.326675,152.899994,144.201202
2018-09-20,53.146652,121.707222,109.123466,155.5,145.981476
2018-09-21,52.574196,121.868301,109.786453,155.520004,146.773788
2018-09-24,53.330223,120.805389,110.180412,158.779999,145.85434
2018-09-25,53.668388,119.903557,109.969017,158.869995,146.314041
2018-09-26,53.240856,122.077599,109.517426,158.330002,146.010834
2018-09-27,54.335045,121.989059,109.930573,160.429993,146.744461
2018-09-28,54.525864,121.755531,109.892151,159.029999,146.812881
2018-10-01,54.893005,123.196861,111.083595,159.860001,147.49762
2018-10-02,55.380928,123.800774,110.641594,157.259995,146.40213
2018-10-03,56.054825,123.374001,110.66082,159.100006,146.108612
2018-10-04,55.069332,121.836075,108.374016,154.899994,143.555634
2018-10-05,54.175625,120.000214,107.739838,155.070007,142.186234
2018-10-08,54.050026,119.484848,106.509956,148.649994,138.791962
2018-10-09,54.798805,118.558876,107.864761,148.5,139.202789
2018-10-10,52.260193,114.895172,102.003593,137.809998,132.56105
2018-10-11,51.79884,111.940041,101.763374,139.240005,130.81012
2018-10-12,53.649063,113.413574,105.280075,146.740005,137.001907
2018-10-15,52.501736,113.639046,103.387199,141.949997,134.233688
2018-10-16,53.658726,116.851837,106.654091,147.440002,138.645233
